"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008038","Panama Papers","","BOROUMAND & ASSOCIATES","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008039","Panama Papers","","ELEANOR BRODIE","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ESP","Spain","11008040","Panama Papers","DIAZ - BASTIEN & TRUAN AVD. SEVERO OCHOA 28, 9º EDIFICIO MARINA MARBELLA 29603 MARBELLA (MÁLAGA) ESPAÑA MARBELLA SPAIN","DIAZ - BASTIEN & TRUAN","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008041","Panama Papers","","PHIL CALLEN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008042","Panama Papers","","CHARLES RUSSELL - SOLS.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008043","Panama Papers","","MR BRIAN CHERRY","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008044","Panama Papers","","MR NGAN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008045","Panama Papers","","NORBURY PROPERTY SVS(LO","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008046","Panama Papers","","OCRA (ISLE OF MAN) LTD","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008047","Panama Papers","","OSMAN & CO","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008048","Panama Papers","","OVLAS TRADING S.A.","","","","","","","","ACTIVE","",""
